video_path,axial_resolution
data/Results_10_2025/Results_10_2025/Results/Videos/250617/p15_v1000_z4.mp4,3.9258504
data/Results_10_2025/Results_10_2025/Results/Videos/250617/p15.5_v1000_z4.mp4,3.9636734
data/Results_10_2025/Results_10_2025/Results/Videos/250617/p16.5_v1000_z4.mp4,4.0263267
data/Results_10_2025/Results_10_2025/Results/Videos/250617/p16_v1000_z4.mp4,3.9765987
data/Results_10_2025/Results_10_2025/Results/Videos/250617/p18.5_v1000_z5.mp4,4.1512856
data/Results_10_2025/Results_10_2025/Results/Videos/250617/p18_v1000_z5.mp4,4.1057143
data/Results_10_2025/Results_10_2025/Results/Videos/250617/p19.5_v1000_z5.mp4,4.2286396
data/Results_10_2025/Results_10_2025/Results/Videos/250617/p20.5_v1000_z5.mp4,4.271905
data/Results_10_2025/Results_10_2025/Results/Videos/250617/p20_v1000_z5.mp4,4.242449
data/Results_10_2025/Results_10_2025/Results/Videos/250617/p21_v1000_z5.mp4,4.307823
"data/Results_10_2025/Results_10_2025/Results/Videos/250624/10,5.mp4",3.4389117
data/Results_10_2025/Results_10_2025/Results/Videos/250624/10.mp4,3.3714285
"data/Results_10_2025/Results_10_2025/Results/Videos/250624/11,5.mp4",3.575238
data/Results_10_2025/Results_10_2025/Results/Videos/250624/11.mp4,3.527279
"data/Results_10_2025/Results_10_2025/Results/Videos/250624/12,5.mp4",3.7081633
data/Results_10_2025/Results_10_2025/Results/Videos/250624/12.mp4,3.6504762
"data/Results_10_2025/Results_10_2025/Results/Videos/250624/13,5.mp4",3.8166428
data/Results_10_2025/Results_10_2025/Results/Videos/250624/13.mp4,3.7634287
"data/Results_10_2025/Results_10_2025/Results/Videos/250624/14,5.mp4",3.889592
data/Results_10_2025/Results_10_2025/Results/Videos/250624/14.mp4,3.8742857
data/Results_10_2025/Results_10_2025/Results/Videos/250624/5.mp4,2.0721087
"data/Results_10_2025/Results_10_2025/Results/Videos/250624/6,5.mp4",2.6682143
data/Results_10_2025/Results_10_2025/Results/Videos/250624/6.mp4,2.5665
"data/Results_10_2025/Results_10_2025/Results/Videos/250624/7,5.mp4",2.947755
data/Results_10_2025/Results_10_2025/Results/Videos/250624/7.mp4,2.7942858
"data/Results_10_2025/Results_10_2025/Results/Videos/250624/8,5.mp4",3.1462586
data/Results_10_2025/Results_10_2025/Results/Videos/250624/8.mp4,3.067619
"data/Results_10_2025/Results_10_2025/Results/Videos/250624/9,5.mp4",3.294694
"data/Results_10_2025/Results_10_2025/Results/Videos/250627/10,5.mp4",3.4391837
data/Results_10_2025/Results_10_2025/Results/Videos/250627/10.mp4,3.4113605
data/Results_10_2025/Results_10_2025/Results/Videos/250627/11.mp4,3.5440135
"data/Results_10_2025/Results_10_2025/Results/Videos/250627/12,5.mp4",3.6810884
data/Results_10_2025/Results_10_2025/Results/Videos/250627/12.mp4,3.6480951
"data/Results_10_2025/Results_10_2025/Results/Videos/250627/13,5.mp4",3.800357
data/Results_10_2025/Results_10_2025/Results/Videos/250627/13.mp4,3.7229285
