video_path,axial_resolution
data/Results_10_2025/Results_10_2025/Results/Videos/250617/p15.5_v1000_z4.mp4,3.9636734
data/Results_10_2025/Results_10_2025/Results/Videos/250617/p16.5_v1000_z4.mp4,4.0263267
data/Results_10_2025/Results_10_2025/Results/Videos/250617/p16_v1000_z4.mp4,3.9765987
data/Results_10_2025/Results_10_2025/Results/Videos/250617/p17_v1000_z5.mp4,4.0599318
data/Results_10_2025/Results_10_2025/Results/Videos/250617/p18_v1000_z5.mp4,4.1057143
data/Results_10_2025/Results_10_2025/Results/Videos/250617/p20.5_v1000_z5.mp4,4.271905
data/Results_10_2025/Results_10_2025/Results/Videos/250617/p20_v1000_z5.mp4,4.242449
data/Results_10_2025/Results_10_2025/Results/Videos/250617/p21_v1000_z5.mp4,4.307823
"data/Results_10_2025/Results_10_2025/Results/Videos/250624/10,5.mp4",3.4389117
data/Results_10_2025/Results_10_2025/Results/Videos/250624/10.mp4,3.3714285
"data/Results_10_2025/Results_10_2025/Results/Videos/250624/11,5.mp4",3.575238
data/Results_10_2025/Results_10_2025/Results/Videos/250624/11.mp4,3.527279
"data/Results_10_2025/Results_10_2025/Results/Videos/250624/12,5.mp4",3.7081633
data/Results_10_2025/Results_10_2025/Results/Videos/250624/12.mp4,3.6504762
"data/Results_10_2025/Results_10_2025/Results/Videos/250624/14,5.mp4",3.889592
data/Results_10_2025/Results_10_2025/Results/Videos/250624/14.mp4,3.8742857
data/Results_10_2025/Results_10_2025/Results/Videos/250624/15.mp4,3.9365306
data/Results_10_2025/Results_10_2025/Results/Videos/250624/5.mp4,2.0721087
"data/Results_10_2025/Results_10_2025/Results/Videos/250624/6,5.mp4",2.6682143
data/Results_10_2025/Results_10_2025/Results/Videos/250624/6.mp4,2.5665
"data/Results_10_2025/Results_10_2025/Results/Videos/250624/7,5.mp4",2.947755
data/Results_10_2025/Results_10_2025/Results/Videos/250624/9.mp4,3.2013605
"data/Results_10_2025/Results_10_2025/Results/Videos/250627/10,5.mp4",3.4391837
data/Results_10_2025/Results_10_2025/Results/Videos/250627/10.mp4,3.4113605
data/Results_10_2025/Results_10_2025/Results/Videos/250627/11.5.mp4,3.5810885
"data/Results_10_2025/Results_10_2025/Results/Videos/250627/12,5.mp4",3.6810884
"data/Results_10_2025/Results_10_2025/Results/Videos/250627/13,5.mp4",3.800357
data/Results_10_2025/Results_10_2025/Results/Videos/250627/13.mp4,3.7229285
data/Results_10_2025/Results_10_2025/Results/Videos/250627/14.mp4,3.8560715
data/Results_10_2025/Results_10_2025/Results/Videos/250627/15.mp4,3.8931973
"data/Results_10_2025/Results_10_2025/Results/Videos/250627/3,5.mp4",1.3259183
"data/Results_10_2025/Results_10_2025/Results/Videos/250627/5,5.mp4",2.4742856
data/Results_10_2025/Results_10_2025/Results/Videos/250627/7.mp4,2.847357
"data/Results_10_2025/Results_10_2025/Results/Videos/250627/8,5.mp4",3.1257143
data/Results_10_2025/Results_10_2025/Results/Videos/250627/8.mp4,3.037959
data/Results_10_2025/Results_10_2025/Results/Videos/250627/9.5.mp4,3.3164625
data/Results_10_2025/Results_10_2025/Results/Videos/250627/9.mp4,3.2636054
"data/Results_10_2025/Results_10_2025/Results/Videos/250710/10,5.mp4",3.3595238
data/Results_10_2025/Results_10_2025/Results/Videos/250710/10.mp4,3.2816327
"data/Results_10_2025/Results_10_2025/Results/Videos/250710/11,5.mp4",3.4954422
data/Results_10_2025/Results_10_2025/Results/Videos/250710/11.mp4,3.442041
"data/Results_10_2025/Results_10_2025/Results/Videos/250710/12,5.mp4",3.6209524
data/Results_10_2025/Results_10_2025/Results/Videos/250710/12.mp4,3.582653
"data/Results_10_2025/Results_10_2025/Results/Videos/250710/13,5.mp4",3.7042143
data/Results_10_2025/Results_10_2025/Results/Videos/250710/13.mp4,3.6877856
"data/Results_10_2025/Results_10_2025/Results/Videos/250710/14,5.mp4",3.8123128
data/Results_10_2025/Results_10_2025/Results/Videos/250710/14.mp4,3.7477858
data/Results_10_2025/Results_10_2025/Results/Videos/250710/15.mp4,3.8462584
"data/Results_10_2025/Results_10_2025/Results/Videos/250710/5,5.mp4",2.332517
data/Results_10_2025/Results_10_2025/Results/Videos/250710/5.mp4,2.1165986
data/Results_10_2025/Results_10_2025/Results/Videos/250710/6.5.mp4,2.6532142
"data/Results_10_2025/Results_10_2025/Results/Videos/250710/7,5.mp4",2.8831294
"data/Results_10_2025/Results_10_2025/Results/Videos/250710/8,5.mp4",3.0493197
data/Results_10_2025/Results_10_2025/Results/Videos/250710/8.mp4,2.9495919
"data/Results_10_2025/Results_10_2025/Results/Videos/250710/9,5.mp4",3.1993198
data/Results_10_2025/Results_10_2025/Results/Videos/250710/9.mp4,3.1570067
"data/Results_10_2025/Results_10_2025/Results/Videos/250715/13,5.mp4",3.7606802
"data/Results_10_2025/Results_10_2025/Results/Videos/250715/14,5.mp4",3.8136055
data/Results_10_2025/Results_10_2025/Results/Videos/250715/14.mp4,3.7940135
"data/Results_10_2025/Results_10_2025/Results/Videos/250715/15,5.mp4",3.9396598
data/Results_10_2025/Results_10_2025/Results/Videos/250715/15.mp4,3.87034
"data/Results_10_2025/Results_10_2025/Results/Videos/250715/16,5.mp4",4.01034
data/Results_10_2025/Results_10_2025/Results/Videos/250715/16.mp4,3.962449
"data/Results_10_2025/Results_10_2025/Results/Videos/250715/17,5.mp4",4.0627213
data/Results_10_2025/Results_10_2025/Results/Videos/250715/17.mp4,4.0367346
data/Results_10_2025/Results_10_2025/Results/Videos/250715/18.mp4,4.119116
"data/Results_10_2025/Results_10_2025/Results/Videos/250715/19,5.mp4",4.188095
data/Results_10_2025/Results_10_2025/Results/Videos/250715/19.mp4,4.142585
data/Results_10_2025/Results_10_2025/Results/Videos/250715/20.mp4,4.2009525
